lon,lat,SummerModerate,SummerSevere,SummerExtreme,SummerModel,AutomnModerate,AutomnSevere,AutomnExtreme,AutomnModel,WinterModerate,WinterSevere,WinterExtreme,WinterModel,SpringModerate,SpringSevere,SpringExtreme,SpringModel
-60.3,4.775,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
-59.8,4.275,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
-60.3,4.275,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
-60.8,4.275,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
-61.3,4.275,15.43,14.41,10.86,3,0,0,0,1,0,0,0,1,0,0,0,1
-64.8,4.275,61.91,37.41,12.92,5,26.92,13.49,4.63,2,20.68,10.55,3.87,2,41.89,20.16,5.5,2
-51.3,3.775,0,0,0,1,24.44,12.62,4.62,2,57.47,38.54,17.35,5,0,0,0,1
-51.8,3.775,10.21,9.71,7.15,3,11.1,11.32,8.92,3,63.4,44.08,19.85,5,0,0,0,1
-59.8,3.775,0,0,0,1,0,0,0,1,20.99,10.7,3.92,2,0,0,0,1
-60.3,3.775,0,0,0,1,0,0,0,1,18.41,9.52,3.62,2,0,0,0,1
-60.8,3.775,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
-61.3,3.775,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
-61.8,3.775,14.59,13.3,9.73,3,0,0,0,1,-7.85,-4.51,-1.87,10,0,0,0,1
-62.3,3.775,20.25,8.46,2.3,2,0,0,0,1,0,0,0,1,14.89,15,12.1,3
-63.3,3.775,35.93,24.71,13.66,4,20.23,9.92,3.44,2,17.03,8.82,3.38,2,36.79,24.84,13.15,4
-63.8,3.775,33.62,24.51,14.69,4,21.95,10.92,3.83,2,17.25,8.94,3.43,2,43.66,19.12,4.14,2
-64.3,3.775,57.56,43.72,25.77,7,21.1,10.66,3.85,2,16.17,8.36,3.21,2,47.57,21.58,4.72,2
-51.3,3.275,0,0,0,1,27.08,13.65,4.72,2,24.76,12.46,4.37,2,0,0,0,1
-51.8,3.275,0,0,0,1,12.61,12.93,10.4,3,26.06,13.4,4.82,2,0,0,0,1
-60.3,3.275,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
-60.8,3.275,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
-61.3,3.275,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
-61.8,3.275,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
-62.3,3.275,13.83,6.06,1.88,2,0,0,0,1,10.93,10.87,8.38,3,11.25,11.07,8.47,3
-62.8,3.275,28.97,21.45,13.15,4,0,0,0,1,9.95,10.03,7.72,3,29.54,21.73,13.1,4
-63.3,3.275,33.02,23.83,14.11,4,15.44,7.81,2.92,2,0,0,0,1,35.23,25.38,14.76,4
